"","age","drinks","drugs","height","orientation","sex","sign","ethnicity"
"155",26,"not at all","never",73,"straight","m","virgo","mixed"
"156",29,"socially","never",61,"gay","f","scorpio","white"
"158",29,"socially","never",68,"straight","f","leo","white"
"159",54,"socially","never",69,"straight","f","scorpio","white"
"165",20,"rarely","never",72,"straight","m","libra","white"
"168",26,"socially","never",63,"gay","f","gemini","mixed"
"169",26,"socially","never",68,"straight","f","sagittarius","white"
"171",20,"socially","never",66,"straight","f","leo","white"
"174",33,"socially","never",63,"straight","f","aquarius","white"
"175",22,"socially","never",69,"straight","m","aries","hispanic / latin"
"176",46,"socially","never",66,"gay","m","sagittarius","mixed"
"177",27,"socially","never",68,"straight","m","virgo","white"
"178",29,"often","never",72,"straight","m","cancer","white"
"181",32,"socially","never",69,"gay","m","aquarius","white"
"182",21,"socially","never",66,"straight","f","aries","hispanic / latin"
"183",27,"often","never",68,"straight","f","leo","white"
"187",52,"often","never",66,"straight","f","aquarius","white"
"188",33,"socially","never",60,"straight","f","taurus","white"
"189",28,"rarely","never",67,"straight","f","taurus","asian"
"190",37,"not at all","never",79,"straight","m","virgo","white"
"192",32,"socially","never",69,"straight","m","cancer","hispanic / latin"
"193",29,"often","sometimes",69,"gay","f","virgo","mixed"
"195",42,"socially","never",71,"straight","m","scorpio","asian"
"196",32,"socially","never",63,"straight","f","capricorn","white"
"197",28,"socially","sometimes",67,"straight","m","aquarius","hispanic / latin"
"200",19,"rarely","never",62,"straight","f","leo","asian"
"201",27,"socially","never",65,"bisexual","f","aquarius","asian"
"202",28,"socially","never",67,"straight","m","gemini","asian"
"203",29,"socially","never",66,"straight","f","sagittarius","white"
"204",31,"socially","never",63,"straight","f","gemini","white"
"206",43,"socially","never",69,"straight","f","virgo","white"
"208",24,"often","never",69,"gay","f","pisces","mixed"
"210",30,"socially","never",66,"straight","f","gemini","white"
"212",33,"rarely","never",72,"straight","m","leo","white"
"217",33,"often","sometimes",70,"straight","m","cancer","white"
"218",43,"socially","never",65,"straight","f","virgo","indian"
"219",29,"socially","sometimes",70,"straight","m","aries","mixed"
"221",21,"not at all","never",70,"straight","m","pisces","white"
"222",35,"socially","never",64,"straight","f","pisces","asian"
"223",32,"socially","never",69,"straight","m","gemini","white"
"224",42,"socially","never",63,"straight","f","aries","white"
"225",23,"often","sometimes",62,"straight","f","sagittarius","white"
"226",30,"socially","never",68,"straight","f","virgo","white"
"227",27,"not at all","never",71,"gay","m","gemini","mixed"
"228",41,"not at all","never",71,"straight","f","aquarius","white"
"230",58,"rarely","never",70,"straight","f","cancer","white"
"232",50,"socially","never",66,"straight","f","leo","hispanic / latin"
"234",66,"socially","never",65,"straight","f","pisces","white"
"237",53,"socially","sometimes",62,"bisexual","f","pisces","white"
"238",28,"socially","never",72,"straight","m","libra","mixed"
"239",22,"socially","never",63,"straight","f","taurus","white"
"240",19,"socially","sometimes",73,"straight","m","aquarius","white"
"241",35,"rarely","never",67,"straight","m","scorpio","asian"
"242",51,"socially","never",65,"straight","f","virgo","mixed"
"243",30,"socially","never",69,"straight","m","aries","asian"
"245",32,"often","sometimes",61,"straight","f","virgo","white"
"246",45,"rarely","never",63,"straight","f","scorpio","black"
"247",28,"socially","sometimes",73,"straight","m","leo","white"
"248",36,"socially","never",63,"straight","f","gemini","white"
"249",40,"socially","never",71,"straight","m","taurus","hispanic / latin"
"250",34,"socially","never",62,"straight","f","gemini","asian"
"252",39,"socially","never",72,"straight","m","libra","white"
"255",36,"socially","sometimes",67,"straight","m","capricorn","hispanic / latin"
"256",46,"socially","never",68,"straight","m","gemini","white"
"259",30,"socially","never",62,"straight","f","gemini","mixed"
"260",50,"socially","never",63,"straight","f","pisces","mixed"
"261",50,"socially","never",64,"straight","f","leo","white"
"262",34,"socially","never",72,"straight","m","aries","hispanic / latin"
"263",40,"socially","never",62,"straight","f","aquarius","hispanic / latin"
"264",46,"socially","never",66,"straight","f","pisces","white"
"265",41,"rarely","never",67,"straight","m","pisces","mixed"
"266",29,"socially","never",62,"straight","f","taurus","mixed"
"267",53,"rarely","never",69,"straight","f","libra","white"
"268",39,"rarely","never",69,"straight","m","cancer","white"
"270",24,"socially","never",62,"straight","f","gemini","mixed"
"273",59,"not at all","never",63,"straight","f","virgo","white"
"274",28,"socially","never",67,"straight","f","capricorn","white"
"275",29,"often","sometimes",68,"straight","m","leo","white"
"279",42,"rarely","sometimes",64,"straight","f","aquarius","white"
"281",27,"rarely","never",80,"straight","m","taurus","black"
"282",45,"socially","never",60,"straight","f","libra","white"
"284",47,"rarely","never",69,"straight","m","aries","white"
"285",24,"socially","never",67,"straight","f","pisces","black"
"286",53,"not at all","never",64,"straight","f","cancer","white"
"287",26,"socially","never",62,"gay","f","aries","mixed"
"288",49,"socially","sometimes",63,"straight","f","taurus","white"
"289",24,"socially","never",61,"straight","f","sagittarius","white"
"293",26,"socially","sometimes",72,"straight","m","aquarius","white"
"297",51,"socially","never",70,"straight","m","leo","white"
"298",28,"socially","never",73,"straight","m","leo","white"
"299",48,"socially","never",62,"straight","f","taurus","hispanic / latin"
"301",47,"not at all","never",72,"straight","m","pisces","white"
"302",34,"socially","sometimes",66,"bisexual","f","virgo","white"
"303",37,"often","sometimes",65,"straight","f","virgo","mixed"
"304",25,"socially","sometimes",70,"straight","m","taurus","mixed"
"305",32,"socially","never",71,"straight","m","leo","hispanic / latin"
"307",33,"socially","never",64,"straight","f","scorpio","black"
"309",42,"socially","sometimes",75,"straight","m","libra","mixed"
"310",29,"socially","never",70,"straight","m","aquarius","white"
"311",55,"socially","never",73,"straight","m","scorpio","white"
"312",32,"socially","never",68,"straight","m","virgo","mixed"
"313",25,"socially","never",69,"straight","m","leo","asian"
"314",31,"not at all","never",64,"straight","f","scorpio","white"
"315",45,"socially","never",68,"gay","m","aries","white"
"317",50,"socially","never",74,"straight","m","gemini","white"
"318",29,"socially","never",61,"straight","f","libra","mixed"
"319",50,"not at all","never",66,"straight","f","leo","white"
"320",43,"socially","never",62,"straight","f","virgo","white"
"321",63,"socially","sometimes",67,"gay","f","pisces","white"
"322",35,"socially","never",72,"straight","m","libra","asian"
"323",19,"socially","sometimes",67,"straight","f","gemini","white"
"325",44,"socially","never",68,"straight","f","pisces","mixed"
"328",40,"not at all","never",68,"straight","f","pisces","white"
"329",63,"socially","never",65,"straight","f","leo","white"
"330",45,"rarely","never",66,"straight","m","virgo","white"
"331",53,"socially","never",62,"straight","f","aries","hispanic / latin"
"336",61,"socially","never",63,"straight","f","capricorn","white"
"338",34,"socially","never",65,"straight","f","leo","white"
"339",34,"socially","never",67,"straight","f","taurus","white"
"342",30,"socially","never",73,"straight","m","gemini","white"
"343",40,"socially","never",68,"straight","m","cancer","white"
"345",20,"socially","sometimes",69,"straight","m","cancer","white"
"347",43,"socially","never",66,"straight","f","virgo","white"
"348",19,"not at all","never",72,"bisexual","m","aquarius","white"
"350",66,"not at all","never",73,"straight","m","taurus","white"
"352",28,"socially","never",75,"straight","m","leo","white"
"354",32,"socially","never",74,"straight","m","libra","white"
"355",34,"rarely","never",68,"straight","f","cancer","white"
"357",26,"socially","never",75,"straight","m","aries","white"
"359",44,"socially","never",65,"straight","f","libra","white"
"362",30,"often","sometimes",69,"straight","f","libra","white"
"363",26,"socially","never",73,"straight","m","taurus","white"
"364",23,"socially","never",70,"straight","m","leo","mixed"
"365",31,"socially","never",69,"straight","m","virgo","middle eastern"
"366",34,"rarely","never",73,"straight","m","cancer","white"
"368",35,"socially","never",71,"straight","m","leo","white"
"370",27,"rarely","never",63,"straight","f","sagittarius","white"
"372",22,"socially","never",64,"straight","f","gemini","white"
"373",35,"socially","never",71,"straight","m","gemini","asian"
"376",32,"socially","never",72,"straight","m","pisces","white"
"379",47,"socially","never",66,"straight","f","pisces","white"
"380",31,"socially","never",74,"straight","m","libra","hispanic / latin"
"382",25,"socially","never",70,"straight","f","aquarius","white"
"384",54,"rarely","never",76,"straight","m","scorpio","white"
"385",30,"socially","never",72,"straight","m","gemini","white"
"389",32,"socially","never",68,"straight","m","leo","mixed"
"390",24,"socially","never",66,"straight","f","sagittarius","white"
"391",57,"rarely","sometimes",69,"straight","m","leo","white"
"392",41,"socially","never",72,"straight","m","aries","white"
"393",37,"often","sometimes",61,"straight","f","aquarius","white"
"395",40,"socially","never",64,"straight","f","sagittarius","black"
"398",37,"not at all","never",76,"straight","m","cancer","white"
"399",60,"socially","never",71,"straight","m","libra","white"
"404",44,"rarely","never",74,"gay","m","gemini","hispanic / latin"
"405",57,"rarely","never",62,"straight","f","libra","white"
"406",43,"socially","never",67,"straight","f","cancer","white"
"407",20,"socially","never",62,"straight","f","libra","black"
"409",30,"often","sometimes",70,"straight","m","capricorn","mixed"
"411",39,"socially","never",72,"straight","m","libra","white"
"412",41,"socially","never",64,"straight","f","taurus","mixed"
"414",23,"socially","never",68,"straight","m","sagittarius","white"
"415",49,"socially","never",68,"straight","f","virgo","white"
"416",59,"socially","never",71,"straight","m","capricorn","mixed"
"418",38,"socially","never",67,"straight","m","cancer","asian"
"419",59,"socially","never",68,"straight","f","sagittarius","white"
"421",33,"often","never",73,"straight","f","libra","white"
"423",36,"socially","never",71,"straight","m","aries","mixed"
"428",33,"socially","sometimes",74,"straight","m","capricorn","white"
"432",28,"socially","never",67,"straight","m","taurus","mixed"
"433",31,"very often","often",65,"bisexual","m","virgo","mixed"
"434",29,"socially","sometimes",79,"bisexual","m","pisces","mixed"
"435",44,"socially","never",61,"straight","f","aquarius","mixed"
"436",28,"socially","never",66,"straight","f","virgo","hispanic / latin"
"437",47,"socially","never",76,"straight","m","virgo","white"
"438",24,"socially","never",69,"straight","m","gemini","asian"
"440",40,"socially","never",65,"straight","f","sagittarius","black"
"444",52,"socially","never",62,"straight","f","aquarius","white"
"451",52,"often","never",65,"straight","f","aquarius","white"
"452",42,"socially","never",64,"straight","f","aries","hispanic / latin"
"453",31,"socially","never",68,"straight","f","sagittarius","white"
"454",38,"socially","never",68,"straight","m","gemini","white"
"455",26,"socially","never",67,"straight","m","libra","asian"
"456",32,"socially","never",64,"straight","f","scorpio","asian"
"459",31,"rarely","never",64,"straight","f","pisces","mixed"
"460",32,"socially","never",72,"straight","m","aries","white"
"461",22,"socially","never",64,"straight","f","pisces","mixed"
"464",44,"socially","never",72,"straight","m","capricorn","white"
"468",33,"socially","never",65,"straight","f","sagittarius","white"
"470",32,"socially","never",64,"straight","f","taurus","white"
"471",27,"socially","never",63,"straight","f","aries","mixed"
"472",39,"not at all","never",63,"straight","f","virgo","mixed"
"473",47,"socially","never",66,"straight","f","virgo","white"
"474",33,"socially","sometimes",70,"straight","m","taurus","asian"
"475",38,"not at all","never",70,"gay","m","pisces","hispanic / latin"
"476",42,"socially","never",67,"straight","f","leo","asian"
"478",21,"socially","never",68,"straight","f","libra","white"
"480",38,"rarely","never",64,"straight","f","aries","white"
"481",34,"rarely","sometimes",64,"straight","f","taurus","mixed"
"483",29,"socially","never",71,"straight","m","virgo","white"
"486",33,"socially","sometimes",67,"straight","m","aquarius","mixed"
"487",25,"socially","never",70,"straight","m","aries","asian"
"489",24,"socially","never",72,"straight","f","taurus","white"
"491",23,"very often","often",72,"straight","m","leo","white"
"492",23,"rarely","never",66,"gay","f","capricorn","white"
"494",48,"rarely","never",70,"straight","m","scorpio","white"
"496",30,"socially","never",68,"gay","m","libra","mixed"
"497",59,"socially","never",64,"straight","m","scorpio","asian"
"498",27,"socially","never",70,"straight","m","aries","asian"
"499",24,"socially","never",68,"straight","m","gemini","white"
"503",30,"socially","never",75,"straight","m","leo","white"
"504",40,"socially","never",65,"straight","f","sagittarius","white"
"505",18,"socially","never",73,"straight","m","aries","white"
"507",32,"socially","never",62,"straight","f","scorpio","white"
"508",27,"socially","never",64,"straight","f","capricorn","white"
"509",56,"socially","never",68,"straight","f","libra","white"
"510",35,"socially","never",70,"straight","m","virgo","black"
"511",20,"socially","sometimes",67,"straight","m","pisces","mixed"
"513",43,"often","often",69,"straight","m","leo","white"
"514",27,"socially","never",68,"straight","m","scorpio","asian"
"515",30,"socially","never",71,"straight","m","aquarius","asian"
"516",58,"often","never",72,"straight","m","virgo","white"
"519",41,"socially","never",75,"straight","m","cancer","white"
"520",27,"socially","never",67,"straight","f","scorpio","white"
"521",37,"socially","never",68,"straight","m","cancer","asian"
"524",28,"socially","never",72,"straight","m","sagittarius","white"
"527",42,"socially","never",72,"straight","m","cancer","hispanic / latin"
"528",25,"socially","never",67,"straight","m","libra","mixed"
"532",26,"socially","never",64,"straight","f","taurus","mixed"
"533",37,"socially","sometimes",75,"straight","m","aquarius","black"
"536",50,"often","never",70,"straight","m","cancer","white"
"537",24,"not at all","never",71,"straight","f","virgo","mixed"
"538",24,"often","sometimes",74,"gay","m","aries","mixed"
"539",32,"socially","never",69,"straight","m","aquarius","white"
"543",49,"socially","sometimes",70,"straight","m","aquarius","mixed"
"547",32,"rarely","sometimes",83,"straight","m","aries","mixed"
"549",26,"very often","often",59,"straight","f","gemini","mixed"
"550",23,"socially","sometimes",71,"straight","m","sagittarius","asian"
"552",28,"rarely","never",69,"straight","m","scorpio","white"
"553",44,"socially","sometimes",76,"bisexual","m","aquarius","mixed"
"556",65,"socially","never",70,"gay","m","aquarius","white"
"559",40,"socially","never",70,"straight","f","scorpio","mixed"
"561",26,"socially","sometimes",72,"straight","m","gemini","white"
"564",36,"often","sometimes",72,"straight","m","leo","white"
"565",41,"often","never",66,"bisexual","f","cancer","white"
"566",45,"socially","never",70,"straight","m","aquarius","hispanic / latin"
"567",48,"socially","never",68,"straight","m","cancer","hispanic / latin"
"568",26,"often","never",76,"straight","m","aquarius","white"
"569",23,"socially","never",67,"straight","m","libra","white"
"570",28,"socially","never",68,"gay","f","sagittarius","mixed"
"571",29,"socially","never",74,"straight","m","libra","white"
"572",42,"socially","never",67,"straight","f","pisces","white"
"573",33,"not at all","never",60,"straight","f","virgo","white"
"574",52,"socially","never",70,"straight","m","pisces","hispanic / latin"
"575",25,"socially","never",63,"straight","m","pisces","hispanic / latin"
"576",61,"socially","never",68,"straight","m","gemini","white"
"577",28,"socially","never",71,"straight","m","leo","white"
"578",35,"not at all","sometimes",73,"straight","m","virgo","white"
"579",34,"socially","never",72,"straight","m","libra","middle eastern"
"583",29,"socially","never",68,"straight","f","gemini","white"
"585",45,"socially","never",65,"straight","m","scorpio","asian"
"586",49,"socially","never",69,"straight","f","gemini","white"
"588",27,"socially","never",61,"straight","f","cancer","indian"
"590",25,"socially","never",63,"straight","f","sagittarius","indian"
"591",44,"socially","sometimes",63,"straight","f","aries","white"
"593",30,"rarely","sometimes",66,"straight","f","pisces","white"
"594",58,"socially","never",64,"straight","f","aquarius","white"
"596",44,"socially","never",68,"straight","f","sagittarius","white"
"598",38,"socially","sometimes",67,"straight","f","aquarius","mixed"
"599",47,"rarely","never",63,"straight","f","sagittarius","mixed"
"601",28,"often","sometimes",68,"bisexual","m","virgo","white"
"604",52,"socially","never",63,"straight","f","scorpio","black"
"607",58,"socially","never",72,"straight","m","virgo","white"
"610",57,"not at all","never",68,"straight","f","libra","white"
"612",41,"rarely","never",69,"straight","m","scorpio","white"
"613",35,"rarely","sometimes",74,"straight","m","cancer","mixed"
"614",26,"socially","never",73,"straight","m","taurus","white"
"615",52,"socially","never",72,"gay","m","cancer","white"
"616",45,"socially","never",63,"straight","f","aquarius","white"
"617",24,"not at all","never",68,"straight","f","capricorn","white"
"618",26,"socially","never",68,"straight","m","leo","white"
"623",41,"socially","sometimes",73,"straight","m","taurus","white"
"624",26,"socially","never",64,"straight","f","virgo","white"
"625",27,"often","sometimes",71,"straight","m","aquarius","mixed"
"626",25,"socially","never",64,"straight","f","pisces","white"
"627",39,"socially","sometimes",63,"straight","f","scorpio","white"
"631",48,"socially","never",69,"straight","f","libra","white"
"632",25,"often","never",73,"straight","m","cancer","white"
"633",27,"very often","sometimes",71,"bisexual","m","scorpio","white"
"635",31,"socially","never",74,"straight","m","aries","mixed"
"636",37,"socially","never",68,"straight","f","libra","white"
"637",55,"socially","never",64,"straight","f","aquarius","white"
"638",37,"socially","never",65,"straight","f","virgo","white"
"639",24,"socially","never",74,"straight","m","sagittarius","white"
"640",32,"socially","never",64,"straight","f","virgo","white"
"641",18,"not at all","never",70,"straight","m","capricorn","mixed"
"642",19,"socially","never",75,"straight","m","gemini","hispanic / latin"
"643",22,"socially","never",61,"straight","f","pisces","white"
"645",36,"socially","never",70,"straight","f","cancer","mixed"
"646",19,"socially","never",63,"straight","f","aquarius","hispanic / latin"
"647",30,"socially","never",71,"straight","m","gemini","hispanic / latin"
"648",43,"socially","never",62,"straight","f","pisces","white"
"649",19,"not at all","never",70,"straight","m","aries","hispanic / latin"
"653",33,"socially","never",61,"straight","f","aries","asian"
"654",27,"often","never",69,"gay","f","cancer","white"
"655",30,"rarely","never",68,"straight","f","aries","white"
"656",26,"socially","never",71,"straight","m","libra","white"
"657",34,"socially","never",71,"straight","m","scorpio","white"
"658",23,"socially","never",72,"straight","m","virgo","hispanic / latin"
"659",38,"socially","never",69,"straight","m","libra","asian"
"660",57,"socially","never",66,"straight","f","capricorn","white"
"661",31,"socially","never",70,"straight","m","pisces","white"
"663",30,"socially","never",73,"gay","m","gemini","white"
"664",27,"often","never",73,"straight","m","cancer","white"
"666",33,"socially","never",67,"straight","m","capricorn","white"
"667",38,"socially","never",69,"straight","f","gemini","white"
"668",45,"socially","sometimes",68,"gay","f","taurus","white"
"669",36,"socially","never",67,"straight","m","sagittarius","white"
"670",32,"socially","never",70,"straight","m","scorpio","white"
"671",28,"socially","never",70,"straight","m","sagittarius","white"
"672",34,"socially","never",62,"bisexual","f","pisces","white"
"674",34,"socially","sometimes",69,"straight","m","taurus","white"
"675",61,"not at all","never",68,"straight","m","taurus","white"
"679",24,"socially","never",67,"straight","m","capricorn","asian"
"681",34,"socially","never",66,"straight","f","pisces","mixed"
"683",27,"socially","never",72,"straight","m","scorpio","white"
"684",31,"socially","never",70,"straight","m","sagittarius","asian"
"688",41,"socially","never",71,"straight","m","gemini","white"
"689",29,"socially","never",72,"straight","m","capricorn","asian"
"691",47,"socially","never",68,"gay","m","leo","white"
"692",30,"socially","never",70,"straight","m","pisces","white"
"694",29,"socially","never",70,"straight","m","libra","white"
"695",32,"socially","never",68,"straight","m","pisces","asian"
"698",23,"socially","never",72,"straight","m","libra","asian"
"700",43,"socially","sometimes",64,"straight","f","scorpio","white"
"702",28,"socially","sometimes",67,"straight","m","aries","asian"
"705",39,"socially","sometimes",74,"gay","m","aries","white"
"706",28,"socially","never",72,"straight","m","cancer","white"
"707",20,"socially","never",65,"straight","f","libra","black"
"708",46,"rarely","never",62,"straight","f","aquarius","white"
"710",29,"socially","never",73,"straight","m","gemini","mixed"
"711",30,"socially","never",70,"straight","m","gemini","hispanic / latin"
"712",36,"not at all","never",67,"straight","m","sagittarius","mixed"
"716",22,"socially","sometimes",67,"straight","m","scorpio","white"
"717",39,"socially","never",72,"straight","m","virgo","white"
"718",40,"socially","never",70,"straight","m","leo","white"
"720",26,"very often","sometimes",74,"straight","m","scorpio","white"
"722",38,"socially","never",65,"straight","f","cancer","white"
"723",38,"not at all","never",70,"straight","m","taurus","mixed"
"724",25,"rarely","never",64,"straight","f","scorpio","asian"
"725",36,"socially","never",62,"straight","m","pisces","hispanic / latin"
"726",24,"socially","never",64,"gay","f","sagittarius","hispanic / latin"
"727",35,"often","sometimes",67,"straight","m","taurus","white"
"728",27,"socially","never",74,"straight","m","aries","white"
"730",40,"often","never",68,"straight","m","aquarius","white"
"731",33,"socially","never",64,"straight","f","capricorn","white"
"732",33,"socially","never",73,"straight","m","cancer","mixed"
"733",32,"socially","sometimes",66,"gay","m","scorpio","white"
"735",24,"socially","never",69,"straight","m","gemini","white"
"737",31,"socially","never",69,"straight","m","libra","black"
"739",22,"socially","often",68,"straight","m","scorpio","white"
"742",36,"often","sometimes",69,"bisexual","m","gemini","white"
"743",26,"often","sometimes",76,"straight","m","scorpio","white"
"744",47,"often","never",73,"straight","m","libra","white"
"745",39,"socially","never",60,"straight","f","gemini","hispanic / latin"
"749",34,"socially","never",71,"straight","m","virgo","asian"
"750",50,"socially","sometimes",68,"gay","m","aquarius","middle eastern"
"751",30,"socially","never",70,"straight","m","capricorn","mixed"
"752",28,"socially","never",71,"gay","m","scorpio","mixed"
"753",32,"socially","never",69,"straight","m","gemini","hispanic / latin"
"754",38,"rarely","never",68,"straight","f","gemini","mixed"
"755",25,"socially","never",64,"straight","f","leo","white"
"756",24,"socially","never",72,"straight","m","gemini","white"
"757",27,"rarely","never",73,"straight","m","aquarius","white"
"758",32,"socially","never",69,"straight","m","taurus","white"
"760",40,"not at all","never",67,"straight","f","gemini","white"
"761",30,"socially","never",65,"straight","f","taurus","black"
"765",23,"often","sometimes",68,"straight","m","taurus","white"
"766",26,"socially","never",74,"straight","m","pisces","black"
"772",28,"socially","never",69,"gay","f","libra","white"
"773",23,"socially","sometimes",70,"straight","m","cancer","white"
"774",38,"rarely","never",68,"straight","m","sagittarius","white"
"775",23,"socially","never",71,"straight","m","leo","white"
"776",30,"socially","sometimes",72,"straight","m","leo","white"
"777",22,"socially","sometimes",71,"straight","m","aries","white"
"779",25,"socially","never",68,"straight","m","capricorn","mixed"
"780",26,"not at all","never",68,"straight","m","taurus","asian"
"782",35,"socially","never",60,"straight","f","leo","hispanic / latin"
"783",30,"socially","never",70,"straight","m","libra","hispanic / latin"
"784",24,"socially","never",74,"straight","m","cancer","white"
"785",43,"rarely","never",68,"straight","f","taurus","white"
"786",26,"socially","sometimes",72,"gay","f","cancer","white"
"787",48,"socially","never",71,"straight","m","aries","white"
"788",29,"socially","never",69,"straight","m","leo","white"
"790",36,"socially","never",64,"gay","f","aries","mixed"
"791",46,"socially","sometimes",65,"straight","f","gemini","white"
"792",23,"rarely","never",76,"straight","m","aquarius","white"
"794",59,"often","sometimes",70,"straight","m","aquarius","white"
"795",19,"not at all","never",70,"straight","m","libra","white"
"796",31,"socially","never",73,"straight","m","virgo","white"
"798",26,"rarely","never",71,"straight","m","libra","asian"
"799",21,"rarely","never",66,"straight","m","aries","black"
"800",38,"rarely","never",74,"straight","m","virgo","white"
"801",31,"very often","sometimes",69,"straight","m","aquarius","mixed"
"805",23,"socially","never",69,"straight","m","virgo","mixed"
"807",42,"socially","never",72,"gay","m","taurus","white"
"808",46,"socially","never",68,"gay","m","cancer","white"
"811",37,"socially","never",64,"straight","f","virgo","white"
"812",32,"socially","sometimes",66,"straight","m","aries","mixed"
"814",29,"socially","never",72,"straight","m","pisces","hispanic / latin"
"818",35,"rarely","never",73,"straight","m","sagittarius","white"
"820",33,"socially","never",68,"gay","m","leo","black"
"822",30,"socially","never",71,"straight","m","pisces","white"
"823",34,"often","sometimes",68,"straight","f","scorpio","white"
"824",30,"socially","never",70,"straight","m","cancer","white"
"827",20,"socially","sometimes",67,"straight","m","sagittarius","asian"
"832",23,"socially","sometimes",71,"gay","m","scorpio","white"
"834",27,"socially","never",70,"straight","m","sagittarius","asian"
"836",47,"socially","never",72,"straight","m","sagittarius","indian"
"840",40,"socially","never",69,"straight","m","cancer","white"
"841",22,"socially","never",75,"straight","m","virgo","mixed"
"843",29,"rarely","never",72,"straight","m","pisces","white"
"845",36,"rarely","never",74,"straight","m","taurus","white"
"846",26,"socially","sometimes",72,"straight","m","cancer","white"
"850",35,"socially","never",71,"straight","f","aquarius","white"
"857",29,"socially","never",64,"straight","m","scorpio","asian"
"858",39,"socially","never",68,"straight","m","aquarius","white"
"859",32,"often","never",73,"gay","m","virgo","white"
"861",36,"socially","never",61,"straight","f","libra","mixed"
"863",27,"socially","never",75,"straight","m","cancer","white"
